plan_id,participant_id,ssn,first_name,last_name,address_1,address_2,city,state,zip,dob,hire_date,term_date,status,filler_442_448
PLN-R001,R1028,900100028,Elena,Dubois,128 Main St,,Springfield,IL,62728,1986-05-02,2018-05-15,,ACTIVE,
PLN-R001,R1029,900100029,Frank,Kim,129 Main St,,Springfield,CA,62729,1987-06-03,2019-06-15,,ACTIVE,
PLN-R001,R1030,900100030,Grace,Patel,130 Main St,,Springfield,TX,62730,1958-07-04,2005-07-15,,ACTIVE,
PLN-R001,R1031,900100031,Hugo,Ng,131 Main St,,Springfield,NY,62731,1959-08-05,2006-08-15,,ACTIVE,
PLN-R001,R1032,900100032,Alice,Rivera,132 Main St,,Springfield,IL,62732,1960-09-06,2007-09-15,,ACTIVE,
PLN-R001,R1033,900100033,Bob,Okafor,133 Main St,,Springfield,CA,62733,1961-10-07,2008-10-15,,ACTIVE,
PLN-R001,R1034,900100034,Carol,Smith,134 Main St,,Springfield,TX,62734,1962-11-08,2009-11-15,,ACTIVE,
PLN-R001,R1035,900100035,David,Chen,135 Main St,,Springfield,NY,62735,1963-12-09,2010-12-15,,ACTIVE,
PLN-R001,R1036,900100036,Elena,Dubois,136 Main St,,Springfield,IL,62736,1964-01-10,2011-01-15,2023-06-30,TERMINATED,
PLN-R001,R1037,900100037,Frank,Kim,137 Main St,,Springfield,CA,62737,1965-02-11,2012-02-15,,ACTIVE,
PLN-R001,R1038,900100038,Grace,Patel,138 Main St,,Springfield,TX,62738,1966-03-12,2013-03-15,,ACTIVE,
PLN-R001,R1039,900100039,Hugo,Ng,139 Main St,,Springfield,NY,62739,1967-04-13,2014-04-15,,ACTIVE,
PLN-R001,R1040,900100040,Alice,Rivera,140 Main St,,Springfield,IL,62740,1968-05-14,2015-05-15,,ACTIVE,
PLN-R001,R1041,900100041,Bob,Okafor,141 Main St,,Springfield,CA,62741,1969-06-15,2016-06-15,,ACTIVE,
PLN-R001,R1042,900100042,Carol,Smith,142 Main St,,Springfield,TX,62742,1970-07-16,2017-07-15,,ACTIVE,
PLN-R001,R1043,900100043,David,Chen,143 Main St,,Springfield,NY,62743,1971-08-17,2018-08-15,,ACTIVE,
PLN-R001,R1044,900100044,Elena,Dubois,144 Main St,,Springfield,IL,62744,1972-09-18,2019-09-15,,ACTIVE,
PLN-R001,R1045,900100045,Frank,Kim,145 Main St,,Springfield,CA,62745,1973-10-19,2005-10-15,2023-06-30,TERMINATED,
PLN-R001,R1046,900100046,Grace,Patel,146 Main St,,Springfield,TX,62746,1974-11-20,2006-11-15,,ACTIVE,
PLN-R001,R1047,900100047,Hugo,Ng,147 Main St,,Springfield,NY,62747,1975-12-21,2007-12-15,,ACTIVE,
PLN-R001,R1048,900100048,Alice,Rivera,148 Main St,,Springfield,IL,62748,1976-01-22,2008-01-15,,ACTIVE,
PLN-R001,R1049,900100049,Bob,Okafor,149 Main St,,Springfield,CA,62749,1977-02-23,2009-02-15,,ACTIVE,
PLN-R001,R1050,900100050,Carol,Smith,150 Main St,,Springfield,TX,62750,1978-03-24,2010-03-15,,ACTIVE,
PLN-R001,R1051,900100051,David,Chen,151 Main St,,Springfield,NY,62751,1979-04-25,2011-04-15,,ACTIVE,
PLN-R001,R1052,900100052,Elena,Dubois,152 Main St,,Springfield,IL,62752,1980-05-26,2012-05-15,,ACTIVE,
PLN-R001,R1053,900100053,Frank,Kim,153 Main St,,Springfield,CA,62753,1981-06-27,2013-06-15,,ACTIVE,
PLN-R001,R1054,900100054,Grace,Patel,154 Main St,,Springfield,TX,62754,1982-07-01,2014-07-15,2023-06-30,TERMINATED,
PLN-R001,R1055,900100055,Hugo,Ng,155 Main St,,Springfield,NY,62755,1983-08-02,2015-08-15,,ACTIVE,
PLN-R001,R1056,900100056,Alice,Rivera,156 Main St,,Springfield,IL,62756,1984-09-03,2016-09-15,,ACTIVE,
PLN-R001,R1057,900100057,Bob,Okafor,157 Main St,,Springfield,CA,62757,1985-10-04,2017-10-15,,ACTIVE,
PLN-R001,R1058,900100058,Carol,Smith,158 Main St,,Springfield,TX,62758,1986-11-05,2018-11-15,,ACTIVE,
PLN-R001,R1059,900100059,David,Chen,159 Main St,,Springfield,NY,62759,1987-12-06,2019-12-15,,ACTIVE,
PLN-R001,R1060,900100060,Elena,Dubois,160 Main St,,Springfield,IL,62760,1958-01-07,2005-01-15,,ACTIVE,
PLN-R002,R2001,900200001,Bob,Smith,101 Main St,,Springfield,CA,62701,1959-02-02,2006-02-15,,ACTIVE,
PLN-R002,R2002,900200002,Carol,Chen,102 Main St,,Springfield,TX,62702,1960-03-03,2007-03-15,,ACTIVE,
PLN-R002,R2003,900200003,David,Dubois,103 Main St,,Springfield,NY,62703,1961-04-04,2008-04-15,,ACTIVE,
PLN-R002,R2004,900200004,Elena,Kim,104 Main St,,Springfield,IL,62704,1962-05-05,2009-05-15,,ACTIVE,
PLN-R002,R2005,900200005,Frank,Patel,105 Main St,,Springfield,CA,62705,1963-06-06,2010-06-15,,ACTIVE,
PLN-R002,R2006,900200006,Grace,Ng,106 Main St,,Springfield,TX,62706,1964-07-07,2011-07-15,,ACTIVE,
PLN-R002,R2007,900200007,Hugo,Rivera,107 Main St,,Springfield,NY,62707,1965-08-08,2012-08-15,,ACTIVE,
PLN-R002,R2008,900200008,Alice,Okafor,108 Main St,,Springfield,IL,62708,1966-09-09,2013-09-15,,ACTIVE,
PLN-R002,R2009,900200009,Bob,Smith,109 Main St,,Springfield,CA,62709,1967-10-10,2014-10-15,2023-06-30,TERMINATED,
PLN-R002,R2010,900200010,Carol,Chen,110 Main St,,Springfield,TX,62710,1968-11-11,2015-11-15,,ACTIVE,
PLN-R002,R2011,900200011,David,Dubois,111 Main St,,Springfield,NY,62711,1969-12-12,2016-12-15,,ACTIVE,
PLN-R002,R2012,900200012,Elena,Kim,112 Main St,,Springfield,IL,62712,1970-01-13,2017-01-15,,ACTIVE,
PLN-R002,R2013,900200013,Frank,Patel,113 Main St,,Springfield,CA,62713,1971-02-14,2018-02-15,,ACTIVE,
PLN-R002,R2014,900200014,Grace,Ng,114 Main St,,Springfield,TX,62714,1972-03-15,2019-03-15,,ACTIVE,
PLN-R002,R2015,900200015,Hugo,Rivera,115 Main St,,Springfield,NY,62715,1973-04-16,2005-04-15,,ACTIVE,
PLN-R002,R2016,900200016,Alice,Okafor,116 Main St,,Springfield,IL,62716,1974-05-17,2006-05-15,,ACTIVE,
PLN-R002,R2017,900200017,Bob,Smith,117 Main St,,Springfield,CA,62717,1975-06-18,2007-06-15,,ACTIVE,
PLN-R002,R2018,900200018,Carol,Chen,118 Main St,,Springfield,TX,62718,1976-07-19,2008-07-15,2023-06-30,TERMINATED,
PLN-R002,R2019,900200019,David,Dubois,119 Main St,,Springfield,NY,62719,1977-08-20,2009-08-15,,ACTIVE,
PLN-R002,R2020,900200020,Elena,Kim,120 Main St,,Springfield,IL,62720,1978-09-21,2010-09-15,,ACTIVE,
PLN-R002,R2021,900200021,Frank,Patel,121 Main St,,Springfield,CA,62721,1979-10-22,2011-10-15,,ACTIVE,
PLN-R002,R2022,900200022,Grace,Ng,122 Main St,,Springfield,TX,62722,1980-11-23,2012-11-15,,ACTIVE,
PLN-R002,R2023,900200023,Hugo,Rivera,123 Main St,,Springfield,NY,62723,1981-12-24,2013-12-15,,ACTIVE,
PLN-R002,R2024,900200024,Alice,Okafor,124 Main St,,Springfield,IL,62724,1982-01-25,2014-01-15,,ACTIVE,
PLN-R002,R2025,900200025,Bob,Smith,125 Main St,,Springfield,CA,62725,1983-02-26,2015-02-15,,ACTIVE,
PLN-R002,R2026,900200026,Carol,Chen,126 Main St,,Springfield,TX,62726,1984-03-27,2016-03-15,,ACTIVE,
PLN-R002,R2027,900200027,David,Dubois,127 Main St,,Springfield,NY,62727,1985-04-01,2017-04-15,2023-06-30,TERMINATED,
PLN-R002,R2028,900200028,Elena,Kim,128 Main St,,Springfield,IL,62728,1986-05-02,2018-05-15,,ACTIVE,
PLN-R002,R2029,900200029,Frank,Patel,129 Main St,,Springfield,CA,62729,1987-06-03,2019-06-15,,ACTIVE,
PLN-R002,R2030,900200030,Grace,Ng,130 Main St,,Springfield,TX,62730,1958-07-04,2005-07-15,,ACTIVE,
PLN-R002,R2031,900200031,Hugo,Rivera,131 Main St,,Springfield,NY,62731,1959-08-05,2006-08-15,,ACTIVE,
PLN-R002,R2032,900200032,Alice,Okafor,132 Main St,,Springfield,IL,62732,1960-09-06,2007-09-15,,ACTIVE,
PLN-R002,R2033,900200033,Bob,Smith,133 Main St,,Springfield,CA,62733,1961-10-07,2008-10-15,,ACTIVE,
PLN-R002,R2034,900200034,Carol,Chen,134 Main St,,Springfield,TX,62734,1962-11-08,2009-11-15,,ACTIVE,
PLN-R002,R2035,900200035,David,Dubois,135 Main St,,Springfield,NY,62735,1963-12-09,2010-12-15,,ACTIVE,
PLN-R002,R2036,900200036,Elena,Kim,136 Main St,,Springfield,IL,62736,1964-01-10,2011-01-15,2023-06-30,TERMINATED,
PLN-R002,R2037,900200037,Frank,Patel,137 Main St,,Springfield,CA,62737,1965-02-11,2012-02-15,,ACTIVE,
PLN-R002,R2038,900200038,Grace,Ng,138 Main St,,Springfield,TX,62738,1966-03-12,2013-03-15,,ACTIVE,
PLN-R002,R2039,900200039,Hugo,Rivera,139 Main St,,Springfield,NY,62739,1967-04-13,2014-04-15,,ACTIVE,
PLN-R002,R2040,900200040,Alice,Okafor,140 Main St,,Springfield,IL,62740,1968-05-14,2015-05-15,,ACTIVE,
PLN-R002,R2041,900200041,Bob,Smith,141 Main St,,Springfield,CA,62741,1969-06-15,2016-06-15,,ACTIVE,
PLN-R002,R2042,900200042,Carol,Chen,142 Main St,,Springfield,TX,62742,1970-07-16,2017-07-15,,ACTIVE,
PLN-R002,R2043,900200043,David,Dubois,143 Main St,,Springfield,NY,62743,1971-08-17,2018-08-15,,ACTIVE,
PLN-R002,R2044,900200044,Elena,Kim,144 Main St,,Springfield,IL,62744,1972-09-18,2019-09-15,,ACTIVE,
PLN-R002,R2045,900200045,Frank,Patel,145 Main St,,Springfield,CA,62745,1973-10-19,2005-10-15,2023-06-30,TERMINATED,
PLN-R002,R2046,900200046,Grace,Ng,146 Main St,,Springfield,TX,62746,1974-11-20,2006-11-15,,ACTIVE,
PLN-R002,R2047,900200047,Hugo,Rivera,147 Main St,,Springfield,NY,62747,1975-12-21,2007-12-15,,ACTIVE,
PLN-R002,R2048,900200048,Alice,Okafor,148 Main St,,Springfield,IL,62748,1976-01-22,2008-01-15,,ACTIVE,
PLN-R002,R2049,900200049,Bob,Smith,149 Main St,,Springfield,CA,62749,1977-02-23,2009-02-15,,ACTIVE,
PLN-R002,R2050,900200050,Carol,Chen,150 Main St,,Springfield,TX,62750,1978-03-24,2010-03-15,,ACTIVE,
PLN-R002,R2051,900200051,David,Dubois,151 Main St,,Springfield,NY,62751,1979-04-25,2011-04-15,,ACTIVE,
PLN-R002,R2052,900200052,Elena,Kim,152 Main St,,Springfield,IL,62752,1980-05-26,2012-05-15,,ACTIVE,
PLN-R002,R2053,900200053,Frank,Patel,153 Main St,,Springfield,CA,62753,1981-06-27,2013-06-15,,ACTIVE,
PLN-R002,R2054,900200054,Grace,Ng,154 Main St,,Springfield,TX,62754,1982-07-01,2014-07-15,2023-06-30,TERMINATED,
PLN-R002,R2055,900200055,Hugo,Rivera,155 Main St,,Springfield,NY,62755,1983-08-02,2015-08-15,,ACTIVE,
PLN-R002,R2056,900200056,Alice,Okafor,156 Main St,,Springfield,IL,62756,1984-09-03,2016-09-15,,ACTIVE,
PLN-R002,R2057,900200057,Bob,Smith,157 Main St,,Springfield,CA,62757,1985-10-04,2017-10-15,,ACTIVE,
PLN-R002,R2058,900200058,Carol,Chen,158 Main St,,Springfield,TX,62758,1986-11-05,2018-11-15,,ACTIVE,
PLN-R002,R2059,900200059,David,Dubois,159 Main St,,Springfield,NY,62759,1987-12-06,2019-12-15,,ACTIVE,
PLN-R002,R2060,900200060,Elena,Kim,160 Main St,,Springfield,IL,62760,1958-01-07,2005-01-15,,ACTIVE,
